id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1874,2024-01-08 20:26:18.586536,5.4,3.9,1.3,0.4,0
1873,2024-01-08 20:26:17.573894,5.1,3.5,1.4,0.3,0
1872,2024-01-08 20:26:16.565307,6.5,3.0,5.5,1.8,2
1871,2024-01-08 20:26:15.549339,5.1,3.8,1.6,0.2,0
1870,2024-01-08 20:26:14.542443,5.0,2.3,3.3,1.0,1
1869,2024-01-08 20:26:13.530330,5.6,2.8,4.9,2.0,2
1868,2024-01-08 20:26:12.512938,7.7,2.6,6.9,2.3,2
1867,2024-01-08 20:26:11.502375,5.2,2.7,3.9,1.4,1
1866,2024-01-08 20:26:10.490433,7.0,3.2,4.7,1.4,1
1865,2024-01-08 20:26:09.464324,4.8,3.0,1.4,0.3,0
1864,2024-01-08 20:26:08.452436,6.8,3.2,5.9,2.3,2
1863,2024-01-08 20:26:07.437705,6.1,2.9,4.7,1.4,1
1862,2024-01-08 20:26:06.420434,6.1,2.6,5.6,1.4,2
1861,2024-01-08 20:26:05.405498,6.3,3.4,5.6,2.4,2
1860,2024-01-08 20:26:04.380291,6.5,3.2,5.1,2.0,2
1859,2024-01-08 20:26:03.368504,5.1,3.8,1.9,0.4,0
1858,2024-01-08 20:26:02.355739,6.0,2.2,5.0,1.5,2
1857,2024-01-08 20:26:01.341365,5.1,3.3,1.7,0.5,0
1856,2024-01-08 20:26:00.324678,5.0,3.4,1.6,0.4,0
1855,2024-01-08 20:25:59.321608,6.3,3.3,4.7,1.6,1
1854,2024-01-08 20:25:58.309915,6.4,3.2,4.5,1.5,1
1853,2024-01-08 20:25:57.292330,5.5,2.6,4.4,1.2,1
1852,2024-01-08 20:25:56.270709,4.8,3.4,1.6,0.2,0
1851,2024-01-08 20:25:55.249456,6.0,2.7,5.1,1.6,1
1850,2024-01-08 20:25:54.236493,6.2,2.2,4.5,1.5,1
1849,2024-01-08 20:25:53.225024,5.0,3.5,1.3,0.3,0
1848,2024-01-08 20:25:52.212520,6.7,3.0,5.2,2.3,2
1847,2024-01-08 20:25:51.199727,5.4,3.4,1.7,0.2,0
1846,2024-01-08 20:25:50.184589,6.2,2.8,4.8,1.8,2
1845,2024-01-08 20:25:49.169425,5.6,2.5,3.9,1.1,1
1844,2024-01-08 20:25:48.156828,5.7,2.6,3.5,1.0,1
1843,2024-01-08 20:25:47.144173,4.9,3.1,1.5,0.1,0
1842,2024-01-08 20:25:46.130401,5.1,3.3,1.7,0.5,0
1841,2024-01-08 20:25:45.115068,6.4,2.8,5.6,2.1,2
1840,2024-01-08 20:25:44.104720,4.9,3.1,1.5,0.1,0
1839,2024-01-08 20:25:43.090122,6.4,3.2,5.3,2.3,2
1838,2024-01-08 20:25:42.074959,6.7,3.0,5.0,1.7,1
1837,2024-01-08 20:25:41.059610,5.5,2.3,4.0,1.3,1
1836,2024-01-08 20:25:40.046520,6.3,2.3,4.4,1.3,1
1835,2024-01-08 20:25:39.023631,6.1,2.6,5.6,1.4,2
1834,2024-01-08 20:25:38.009851,6.1,3.0,4.9,1.8,2
1833,2024-01-08 20:25:36.998237,4.5,2.3,1.3,0.3,0
1832,2024-01-08 20:25:35.974666,5.4,3.4,1.5,0.4,0
1831,2024-01-08 20:25:34.962489,4.9,2.4,3.3,1.0,1
1830,2024-01-08 20:25:33.948462,5.0,3.4,1.6,0.4,0
1829,2024-01-08 20:25:32.936293,5.2,3.4,1.4,0.2,0
1828,2024-01-08 20:25:31.922097,4.3,3.0,1.1,0.1,0
1827,2024-01-08 20:25:30.907423,6.3,2.9,5.6,1.8,2
1826,2024-01-08 20:25:29.892106,6.2,2.2,4.5,1.5,1
1825,2024-01-08 20:25:28.885160,5.6,2.5,3.9,1.1,1
1824,2024-01-08 20:25:27.870133,6.3,3.4,5.6,2.4,2
1823,2024-01-08 20:25:26.844836,4.3,3.0,1.1,0.1,0
1822,2024-01-08 20:25:25.833274,5.6,3.0,4.1,1.3,1
1821,2024-01-08 20:25:24.818258,6.3,2.5,5.0,1.9,2
1820,2024-01-08 20:25:23.806786,5.1,3.8,1.5,0.3,0
1819,2024-01-08 20:25:22.782593,5.5,3.5,1.3,0.2,0
1818,2024-01-08 20:25:21.769199,5.5,2.5,4.0,1.3,1
1817,2024-01-08 20:25:20.743897,4.3,3.0,1.1,0.1,0
1816,2024-01-08 20:25:19.729762,6.5,3.2,5.1,2.0,2
1815,2024-01-08 20:25:18.715257,7.9,3.8,6.4,2.0,2
1814,2024-01-08 20:25:17.690999,5.8,4.0,1.2,0.2,0
1813,2024-01-08 20:25:16.669378,4.8,3.4,1.6,0.2,0
1812,2024-01-08 20:25:15.656014,6.9,3.1,4.9,1.5,1
1811,2024-01-08 20:25:14.638526,5.7,3.0,4.2,1.2,1
1810,2024-01-08 20:25:13.626323,6.5,3.0,5.8,2.2,2
1809,2024-01-08 20:25:12.614875,5.5,2.6,4.4,1.2,1
1808,2024-01-08 20:25:11.600457,4.9,3.1,1.5,0.1,0
